LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,T2MDEW,T2M,KT_CLEAR,KT,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN
50.07731,20.76851,2015,06,27,    0.30,  0.008481,   11.22,   17.36,              0.22,              0.22,-999,              2.57,              9.09
50.07731,20.76851,2015,06,28,    1.63,  0.009407,   12.84,   17.91,              0.37,              0.37,-999,              4.36,              8.96
50.07731,20.76851,2015,06,29,    2.05,  0.009387,   12.85,   16.48,              0.17,              0.17,-999,              2.00,              8.96
50.07731,20.76851,2015,06,30,    0.23,  0.008255,   10.93,   18.17,              0.50,              0.50,-999,              5.63,              8.61
50.07731,20.76851,2015,07,01,    0.03,  0.008599,   11.56,   19.53,              0.46,              0.46,-999,              5.37,              8.65
50.07731,20.76851,2015,07,02,    0.00,  0.008304,   11.09,   20.15,              0.56,              0.56,-999,              6.43,              8.12
50.07731,20.76851,2015,07,03,    0.00,  0.008172,   10.88,   21.55,              0.64,              0.64,              7.38,              7.16,              7.96
50.07731,20.76851,2015,07,04,    0.00,  0.008968,   12.20,   23.84,              0.66,              0.66,              7.33,              7.31,              8.21
50.07731,20.76851,2015,07,05,    0.00,  0.009425,   12.86,   25.80,              0.63,              0.63,              7.29,              7.21,              8.54
50.07731,20.76851,2015,07,06,    0.17,  0.010911,   14.98,   26.22,              0.51,              0.51,              7.07,              5.77,              9.37
50.07731,20.76851,2015,07,07,    0.00,  0.009816,   13.37,   24.80,              0.65,              0.65,              7.29,              7.25,              8.54
50.07731,20.76851,2015,07,08,   17.58,  0.012055,   16.53,   23.78,              0.37,              0.37,-999,              4.23,              9.72
50.07731,20.76851,2015,07,09,    0.60,  0.008394,   10.92,   17.96,              0.30,              0.30,-999,              3.38,              8.58
50.07731,20.76851,2015,07,10,    0.00,  0.005246,    4.27,   14.10,              0.29,              0.29,-999,              3.25,              7.63
50.07731,20.76851,2015,07,11,    0.00,  0.005506,    4.94,   16.08,              0.56,              0.56,-999,              6.27,              7.49
50.07731,20.76851,2015,07,12,    0.41,  0.006803,    7.72,   19.94,              0.59,              0.59,              7.14,              6.71,              8.37
50.07731,20.76851,2015,07,13,    5.95,  0.009447,   12.87,   16.96,              0.23,              0.23,-999,              2.59,              8.89
50.07731,20.76851,2015,07,14,    3.01,  0.009692,   13.25,   18.24,              0.26,              0.26,-999,              2.92,              8.99
50.07731,20.76851,2015,07,15,    3.43,  0.009690,   13.24,   18.65,              0.42,              0.42,-999,              4.69,              8.62
